song,artist,duration,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo,cluster
"Renegade Master - 7"" Edit",Wildchild,239645,0.778,0.682,0.000572,0.0,0.0844,-11.065,0.0601,0.926,124.886,2
Addictive,Truth Hurts,226146,0.7,0.673,0.0892,0.000145,0.179,-6.67,0.17,0.338,99.274,6
Blue Jean Bop - Digitally Remastered 02,Gene Vincent & His Blue Caps,142560,0.573,0.671,0.272,0.0,0.124,-10.017,0.0738,0.724,97.031,2
L'accordéoniste,Édith Piaf,192493,0.514,0.268,0.977,0.0,0.103,-10.166,0.164,0.734,79.053,0
Nasty Sexo,La Revolución De Emiliano Zapata,380080,0.724,0.813,0.122,0.2,0.087,-5.53,0.0364,0.689,114.933,2
Jump into the Fire - Remastered,Harry Nilsson,420440,0.647,0.776,0.000646,0.732,0.0847,-8.924,0.066,0.959,145.77,3
Telephone Line,Electric Light Orchestra,280360,0.467,0.367,0.771,2.27e-05,0.0847,-8.164,0.0298,0.205,70.856,0
Egyptian Reggae,Jonathan Richman & The Modern Lovers,157053,0.765,0.424,0.257,0.101,0.147,-11.818,0.0559,0.512,103.913,2
Dramamine,Modest Mouse,342000,0.376,0.736,0.326,0.105,0.107,-9.438,0.0412,0.796,185.12,4
Lost In The Plot,The Dears,289986,0.493,0.681,0.00066,0.000374,0.119,-6.169,0.035,0.371,121.693,4
Suburban War,Arcade Fire,287293,0.319,0.857,0.128,0.141,0.106,-5.704,0.037,0.599,119.868,4
Señorita,Vince Staples,188026,0.763,0.63,0.0622,1.02e-05,0.285,-8.258,0.142,0.17,124.973,4
Who Will Save Your Soul,Jewel,239293,0.686,0.467,0.704,0.00103,0.13,-9.712,0.0419,0.753,126.179,2
New World,Björk,260506,0.491,0.671,0.657,0.0445,0.111,-9.018,0.0443,0.29,145.945,4
"The Good, The Bad and The Ugly",Hugo Montenegro & His Orchestra,165400,0.539,0.544,0.545,0.634,0.506,-13.569,0.0397,0.534,116.524,3
Friends of P.,The Rentals,212266,0.613,0.721,0.000641,1.6e-05,0.13,-6.868,0.0252,0.763,107.956,2
Lit Up,Buckcherry,215560,0.648,0.876,0.000541,2.13e-05,0.358,-3.127,0.0332,0.92,128.819,2
Stormy Monday Blues - Single Version / Stereo,"Bobby ""Blue"" Bland",247786,0.387,0.326,0.644,0.00247,0.135,-11.819,0.0354,0.319,185.249,0
Good As Hell,Lizzo,159011,0.684,0.905,0.285,0.0,0.525,-3.187,0.0765,0.492,95.985,1
Original Nuttah,SHY FX,312000,0.778,0.772,0.0229,4.17e-05,0.104,-11.286,0.099,0.71,113.375,2
