names,uri,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
The Riddle Anthem - Radio Edit,spotify:track:1UjgPHpST8aSMvZrMWAH3r,"['Jack Holiday', 'Mike Candys']",35,0.653,0.789,6,-5.026,0,0.0312,0.0137,3.09e-05,0.374,0.593,127.013,171533,4,5
Don't Stop the Dancing - Video Edit,spotify:track:0q1KvQDZEN2JmmmYWXOhtM,"['Manian', 'Carlprit']",0,0.624,0.951,4,-4.374,1,0.181,0.0199,0.0,0.17,0.595,127.938,184613,4,1
Meet Me in Paris - Radio Edit,spotify:track:7ggU8237ZuzJxy4aVBGnmG,"['DJ Antoine', 'Mad Mark']",13,0.729,0.732,10,-4.303,1,0.0517,0.0106,0.0,0.0951,0.547,127.914,200920,4,6
Disco Pogo - Atzen Musik Mix,spotify:track:3O6xjfDP08rqcfqMD7lnEg,"['Die Atzen Frauenarzt', 'Manny Marc']",36,0.654,0.771,11,-4.844,0,0.0928,0.00898,0.0,0.0966,0.286,131.876,204115,4,5
More - RedOne Jimmy Joker Remix,spotify:track:0aBKFfdyOD1Ttvgv0cfjjJ,['Usher'],68,0.551,0.893,7,-2.628,1,0.0543,0.00166,0.0,0.348,0.794,125.083,219987,4,6
Turn This Club Around (feat. U-Jean) - Video Edit,spotify:track:4CPygBmg8tShp6vHxf9ntz,"['R.I.O.', 'U-Jean']",0,0.61,0.843,0,-4.894,1,0.0296,0.000118,0.000392,0.373,0.916,127.981,201459,4,1
Morgens immer müde - Single Version,spotify:track:2ta32gI6EPiCgnrOXnslOm,['Laing'],12,0.93,0.584,6,-8.688,1,0.0443,0.0197,0.00227,0.102,0.923,130.024,203240,4,6
Higher Ground - Flamemakers Radio Edit,spotify:track:3TD21S7DgPAsQFsdAOE8zP,"['Remady', 'ManuL', 'FlameMakers']",14,0.573,0.817,2,-5.51,1,0.0534,0.0199,0.0,0.69,0.503,128.023,178321,4,1
My Party (Radio Version),spotify:track:2UT8Re2t44hoUYCKJcOdqn,"['DJane HouseKat', 'Rameez']",31,0.732,0.772,5,-5.779,0,0.241,0.0209,0.00152,0.878,0.573,128.038,180000,4,2
Ebony Eyes (feat. A-Class & Sean Paul) - Original Edit,spotify:track:7g9UjIFjs7KihId4XgIWQI,"['Rico Bernasconi', 'Tuklan', 'A*Class', 'Sean Paul']",32,0.693,0.921,1,-3.457,0,0.191,0.136,0.0,0.591,0.651,122.134,196617,4,5
Wicked Wonderland,spotify:track:0zQXwzM2gtGfClqBBTsKXp,['Tungevaag'],47,0.699,0.812,6,-5.772,0,0.135,0.00461,0.0161,0.397,0.749,127.916,217270,4,5
Freed From Desire - Radio Edit,spotify:track:3V3BtIfN5FwhnnaV5a6xAu,['Fun[k]House'],32,0.672,0.899,0,-4.197,1,0.0473,0.00321,1.96e-05,0.34,0.488,127.967,183089,4,1
Boom (feat. Carlprit) - Video Edit,spotify:track:0dZ5AOJd3E9SUrPeKYeMbK,"['ItaloBrothers', 'Carlprit']",0,0.557,0.77,11,-7.084,0,0.0397,0.0262,4.08e-06,0.119,0.342,149.964,191170,4,5
Animal (feat. U-Jean) - Video Edit,spotify:track:79MkbP0nYwH5LG9fzwuCjZ,"['R.I.O.', 'U-Jean']",28,0.62,0.865,0,-4.697,0,0.0412,0.00929,0.0,0.453,0.555,128.037,212467,4,5
Bring Back The Love - Radio Edit,spotify:track:3nay4trOaT3jnPCreU5BIO,"['Mike Candys', 'Jenson Vaughan']",3,0.606,0.816,5,-3.787,1,0.0616,0.0109,5.8e-05,0.223,0.476,127.982,196293,4,1
Big Jet Plane,spotify:track:2fbXJ0VpxhW7j0qcg1DnoZ,['Angus & Julia Stone'],61,0.766,0.376,10,-8.622,0,0.0267,0.252,0.00861,0.0908,0.257,109.944,239120,4,5
Electric Feel,spotify:track:3FtYbEfBqAlGO46NUDQSAt,['MGMT'],77,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,229640,3,0
I Wanna Go,spotify:track:5cCAZS9VhLGEDV4NCfieeg,['Britney Spears'],66,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,210267,4,6
Boys Boys Boys,spotify:track:33CB8obztQNidFDbO6Z1Wl,['Lady Gaga'],45,0.725,0.662,9,-5.068,1,0.0404,0.0144,0.0,0.0996,0.814,122.989,200813,4,6
Feeling Good,spotify:track:61S0mEfdRtJ62Fc7fPqx0U,['Nina Simone'],0,0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,174000,4,4
Sunshine (Fly So High) - 2012 Radio Mix,spotify:track:3lEL5rTa86urrKRRunT6Lr,"['Mike Candys', 'Sandra Wild']",21,0.653,0.953,5,-4.307,0,0.112,0.12,0.0139,0.137,0.46,129.055,167398,4,5
Glorious - Video Edit,spotify:track:7MLSUbB20MvCmqDgL2gCco,['Cascada'],22,0.564,0.856,7,-5.075,0,0.0538,0.00314,3.74e-05,0.311,0.319,127.983,207600,4,5
Vamos a la Playa - Radio Edit,spotify:track:0ELV9UkTP2505QXAsoM0iI,['Loona'],0,0.7,0.959,9,-4.483,1,0.0499,0.103,0.0,0.404,0.877,131.005,177939,4,6
More Than Friends (feat. Daddy Yankee),spotify:track:3eqeE039Sa2bOSQl06F3nf,"['INNA', 'Daddy Yankee']",0,0.799,0.787,11,-5.02,1,0.0489,0.0241,0.00053,0.409,0.962,128.033,237800,4,6
Welcome To St. Tropez - DJ Antoine vs Mad Mark Radio Edit,spotify:track:3itAdIDLIwKskzx3bRIKrx,"['DJ Antoine', 'Timati', 'Kalenna']",36,0.77,0.771,0,-4.794,0,0.133,0.00673,0.0,0.323,0.703,124.994,194583,4,5
Hey Mamma - Radio Edit,spotify:track:59JayqW5h9kyhLEcCTwPRX,['Sunstroke Project'],0,0.833,0.806,10,-5.946,0,0.113,0.231,0.00944,0.0681,0.64,110.098,179625,4,5
Mad World (Feat. Michael Andrews),spotify:track:3JOVTQ5h8HGFnDdp4VT3MP,"['Gary Jules', 'Michael Andrews']",67,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,189507,4,4
Fly With Me,spotify:track:1PbsliSdEPxPRqtsrKFzOR,['Artsvik'],0,0.579,0.803,4,-4.893,0,0.148,0.79,0.0582,0.0813,0.396,180.03,179134,4,7
Echoes,spotify:track:5OW1Zo95O1j4gJYk7Lafbk,['The Rapture'],0,0.603,0.946,8,-3.369,0,0.228,0.000335,0.0604,0.0936,0.3,133.986,186520,4,5
Arsonist's Lullabye,spotify:track:6Rcl83L6fCXbdJPSG5HAQh,['Hozier'],0,0.409,0.417,6,-9.038,0,0.0356,0.588,0.0627,0.124,0.186,130.112,266613,4,4
Work Song,spotify:track:4Vc3bzFxXdrABa2DxgyCMT,['Hozier'],62,0.531,0.359,10,-7.672,1,0.0619,0.749,0.0,0.112,0.254,121.249,229720,4,4
Fairytale,spotify:track:37lYrZzmbRiEySPGkiGjXA,['Alexander Rybak'],0,0.573,0.785,2,-5.362,0,0.0293,0.619,3.69e-05,0.278,0.688,108.003,182600,4,5
Origo,spotify:track:58erMXiJBLy1URLSXguVNw,['Pápai Joci'],40,0.596,0.733,9,-6.513,0,0.15,0.479,0.0,0.29,0.375,107.862,203889,4,5
Great Southern Land,spotify:track:2qUjP7g8WY3fzBCNTELwjy,['ICEHOUSE'],0,0.717,0.837,9,-5.641,1,0.0278,0.244,0.000145,0.067,0.468,120.142,317200,4,6
Four Seasons In One Day,spotify:track:6ytBxmixhkR4PZ5wNS57dD,['Crowded House'],29,0.495,0.373,7,-12.132,1,0.0262,0.821,6.75e-05,0.0769,0.486,89.834,167657,4,4
The Walk - Remastered Version,spotify:track:67xHrhdRPmr0iwt9oX6RVk,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']",26,0.575,0.692,8,-6.624,0,0.0571,0.0322,9.16e-06,0.112,0.277,125.191,283267,4,5
Human - Edit,spotify:track:7qm1JpihtROAIU1XpvqYHS,['The Human League'],59,0.636,0.559,8,-10.313,1,0.0249,0.0562,0.000754,0.0562,0.512,101.4,228867,4,6
Chameleon,spotify:track:4rex1k9pBVFaIVKBBssZzi,['PNAU'],0,0.718,0.934,4,-3.153,1,0.0379,0.00149,0.000131,0.324,0.239,119.989,198021,4,1
