danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4
0.645,0.88,1,-4.876,0,0.251,0.0259,0.0,0.491,0.532,129.976,167379,4
0.693,0.849,1,-3.259,0,0.189,0.0668,0.0,0.69,0.599,128.971,245920,4
0.563,0.963,6,-3.55,0,0.0403,0.00154,0.0,0.0735,0.492,127.934,171998,4
0.68,0.871,0,-2.69,1,0.0348,0.00315,2.98e-05,0.184,0.397,129.978,188077,4
0.586,0.884,8,-5.73,1,0.188,0.00151,0.0,0.328,0.285,132.03,196972,4
0.702,0.857,0,-6.031,0,0.0345,0.014,1.73e-05,0.306,0.731,130.003,220128,4
0.675,0.958,11,-4.208,0,0.0611,0.17,0.0,0.965,0.813,128.006,201840,4
0.44,0.83,0,-4.485,0,0.234,0.109,0.0,0.0456,0.378,129.963,201279,4
0.822,0.749,7,-5.563,1,0.0285,0.0697,0.000273,0.0732,0.707,130.005,196453,4
0.766,0.945,11,-2.517,0,0.0667,0.00992,0.493,0.101,0.359,130.009,165045,4
0.736,0.929,7,-5.89,0,0.0674,0.00237,1.11e-05,0.402,0.658,125.03,206461,4
0.751,0.736,5,-4.168,0,0.156,0.0206,0.0,0.265,0.352,130.014,262147,4
0.732,0.989,5,-4.172,0,0.0483,0.102,0.748,0.0551,0.684,127.984,210000,4
0.673,0.704,9,-6.81,1,0.251,0.000952,0.00085,0.133,0.729,171.898,234208,4
0.703,0.684,8,-6.532,1,0.0778,0.00164,0.000378,0.0744,0.217,126.027,346930,4
0.687,0.866,9,-4.346,0,0.16,0.00768,0.0,0.37,0.682,127.001,228200,4
0.747,0.872,8,-4.233,1,0.0355,0.0742,0.00039,0.149,0.882,128.013,231562,4
0.641,0.915,11,-5.356,0,0.0679,0.0105,0.714,0.0916,0.484,129.933,209797,4
0.662,0.819,6,-4.609,1,0.124,0.00537,0.0,0.0498,0.801,122.951,210200,4
0.754,0.815,5,-5.957,0,0.0566,0.00613,0.00813,0.0571,0.395,127.994,270309,4
